SMI,canonical_smi,lambda_max_exp_nm,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FractionCSP3,HeavyAtomCount,NumValenceElectrons,MolLogP_clipped
CCC(COC1C=CC=CC1=NC1c2cccnc2c2c1cccn2)(COC1C=CC=CC1=NC1c2cccnc2c2c1cccn2)COC1C=CC=CC1=NC1c2cccnc2c2c1cccn2,CCC(COC1C=CC=CC1=NC1c2cccnc2-c2ncccc21)(COC1C=CC=CC1=NC1c2cccnc2-c2ncccc21)COC1C=CC=CC1=NC1c2cccnc2-c2ncccc21,432.0,906.0629999999998,9.919399999999998,142.11,0,12,13,12,6,0.21052631578947367,69,338,9.919399999999998
S=C1NCCN1C,CN1CCNC1=S,340.0,116.189,-0.19369999999999993,15.27,1,1,0,1,0,0.75,7,40,-0.19369999999999993
[O-]C(=O)c1ccccc1O,O=C([O-])c1ccccc1O,340.0,137.11399999999998,-0.24430000000000013,60.36,1,3,1,1,1,0.0,10,52,-0.24430000000000013
C([2H])(C(=O)C([2H])([2H])[2H])([2H])[2H],[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],370.0,64.11661066799999,0.5952999999999999,17.07,0,1,2,0,0,0.6666666666666666,4,24,0.5952999999999999
O[C@H]1C[C@@H](O[C@@H]1COP(=O)(O)O)n1cc(C)c(nc1=O)N,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)nc1N,216.0,321.22600000000006,-1.1083800000000006,157.13000000000002,4,7,4,2,1,0.6,21,118,-1.1083800000000006
NCC(=O)CCC(=O)O,NCC(=O)CCC(=O)O,266.0,131.131,-0.6210000000000004,80.39,2,3,4,0,0,0.6,9,52,-0.6210000000000004
OC[C@H]([C@@H]([C@H](CO)O)O)O,OC[C@@H](O)[C@H](O)[C@@H](O)CO,340.0,152.146,-2.9463000000000004,101.15,5,5,4,0,0,1.0,10,62,-2.9463000000000004
COc1cc(C=O)ccc1OC,COc1ccc(C=O)cc1OC,310.0,166.17599999999996,1.5162999999999998,35.53,0,3,3,1,1,0.2222222222222222,12,64,1.5162999999999998
COc1cc(C=O)cc(c1O)OC,COc1cc(C=O)cc(OC)c1O,371.0,182.17499999999998,1.2218999999999998,55.760000000000005,1,4,3,1,1,0.2222222222222222,13,70,1.2218999999999998
C1(C)c2cc(ccc2c2c1cc(cc2)c1ccc(s1)c1ccc(s1)C=C(C(=O)O)C#N)N1c2ccccc2Sc2c1ccc(c2)C=C1c2ccccc2c2c1cccc2,CC1c2cc(-c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)s3)ccc2-c2ccc(N3c4ccccc4Sc4cc(C=C5c6ccccc6-c6ccccc65)ccc43)cc21,453.0,813.0409999999999,14.771079999999975,64.33,1,6,6,11,8,0.038461538461538464,59,280,14.771079999999975
[O-]C(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)NCC1CNc2c(N1C)c(=O)[nH]c(n2)N,CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)O)cc1,290.0,458.45500000000027,-1.5923999999999956,205.6,6,10,9,3,2,0.35,33,176,-1.5923999999999956
O=CN1C(CNc2ccc(cc2)C(=O)N[C@H](C(=O)O)CCC(=O)[O-])CNc2c1c(=O)[nH]c(n2)N,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)O)cc1)CN2,288.0,472.4380000000003,-2.065799999999996,222.66999999999996,6,10,10,3,2,0.3,34,180,-2.065799999999996
